timestamp,equity,cash,holdings,holdings_value
2025-08-07 22:28:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 22:29:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 22:30:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 22:31:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 22:32:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 22:33:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 22:34:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 22:35:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 22:36:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 22:37:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 22:38:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 22:39:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 22:40:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 22:41:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 22:42:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 22:43:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 22:44:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 22:45:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 22:46:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 22:47:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 22:48:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 22:49:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 22:50:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 22:51:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 22:52:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 22:53:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 22:54:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 22:55:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 22:56:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 22:57:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 22:58:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 22:59:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 23:00:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 23:01:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 23:02:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 23:03:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 23:04:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 23:05:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 23:06:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 23:07:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 23:08:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 23:09:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 23:10:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 23:11:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 23:12:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 23:13:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 23:14:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 23:15:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 23:16:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 23:17:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 23:18:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 23:19:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 23:20:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 23:21:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 23:22:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 23:23:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 23:24:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 23:25:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 23:26:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 23:27:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 23:28:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 23:29:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 23:30:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 23:31:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 23:32:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 23:33:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 23:34:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 23:35:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 23:36:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 23:37:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 23:38:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 23:39:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 23:40:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 23:41:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 23:42:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 23:43:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 23:44:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 23:45:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 23:46:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 23:47:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 23:48:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 23:49:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 23:50:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 23:51:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 23:52:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 23:53:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 23:54:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 23:55:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 23:56:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 23:57:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 23:58:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-07 23:59:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 00:00:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 00:01:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 00:02:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 00:03:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 00:04:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 00:05:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 00:06:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 00:07:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 00:08:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 00:09:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 00:10:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 00:11:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 00:12:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 00:13:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 00:14:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 00:15:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 00:16:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 00:17:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 00:18:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 00:19:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 00:20:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 00:21:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 00:22:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 00:23:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 00:24:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 00:25:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 00:26:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 00:27:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 00:28:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 00:29:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 00:30:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 00:31:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 00:32:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 00:33:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 00:34:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 00:35:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 00:36:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 00:37:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 00:38:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 00:39:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 00:40:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 00:41:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 00:42:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 00:43:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 00:44:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 00:45:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 00:46:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 00:47:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 00:48:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 00:49:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 00:50:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 00:51:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 00:52:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 00:53:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 00:54:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 00:55:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 00:56:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 00:57:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 00:58:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 00:59:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 01:00:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 01:01:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 01:02:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 01:03:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 01:04:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 01:05:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 01:06:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 01:07:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 01:08:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 01:09:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 01:10:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 01:11:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 01:12:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 01:13:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 01:14:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 01:15:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 01:16:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 01:17:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 01:18:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 01:19:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 01:20:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 01:21:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 01:22:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 01:23:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 01:24:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 01:25:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 01:26:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 01:27:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 01:28:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 01:29:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 01:30:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 01:31:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 01:32:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 01:33:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 01:34:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 01:35:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 01:36:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 01:37:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 01:38:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 01:39:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 01:40:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 01:41:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 01:42:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 01:43:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 01:44:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 01:45:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 01:46:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 01:47:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 01:48:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 01:49:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 01:50:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 01:51:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 01:52:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 01:53:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 01:54:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 01:55:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 01:56:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 01:57:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 01:58:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 01:59:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 02:00:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 02:01:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 02:02:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 02:03:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 02:04:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 02:05:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 02:06:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 02:07:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 02:08:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 02:09:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 02:10:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 02:11:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 02:12:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 02:13:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 02:14:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 02:15:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 02:16:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 02:17:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 02:18:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 02:19:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 02:20:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 02:21:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 02:22:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 02:23:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 02:24:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 02:25:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 02:26:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 02:27:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 02:28:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 02:29:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 02:30:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 02:31:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 02:32:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 02:33:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 02:34:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 02:35:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 02:36:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 02:37:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 02:38:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 02:39:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 02:40:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 02:41:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 02:42:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 02:43:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 02:44:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 02:45:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 02:46:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 02:47:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 02:48:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 02:49:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 02:50:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 02:51:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 02:52:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 02:53:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 02:54:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 02:55:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 02:56:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 02:57:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 02:58:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 02:59:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 03:00:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 03:01:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 03:02:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 03:03:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 03:04:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 03:05:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 03:06:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 03:07:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 03:08:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 03:09:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 03:10:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 03:11:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
2025-08-08 03:12:00+00:00,103666.19867174292,103666.19867174292,0.0,0.0
